Category,Name,Platform,Website,Audience_Size,Contact_Email,Contact_Type,Email_Verified,Audience_Level,Outreach_Angle,Priority,Email_Subject,Email_Body
YouTube Creator,Chess Summit (Isaac Steincamp),YouTube + Blog,chesssummit.us,50K+ YouTube subs,chesssummit.us/contact,Contact Form,N/A,Intermediate (1400-2200 rated),Creator + Blog Partnership,LOW,FireChess - content idea for your audience,"Hey Isaac,

Big fan of the Chess Summit approach to structured improvement. We built FireChess (firechess.com) - it scans a player's games and finds their opening leaks and tactical blindspots. Feels aligned with the Chess Summit philosophy.

Would you be open to covering it or a creator partnership?

[Your name]
firechess.com"
GM YouTuber / Coach,PowerPlayChess (Daniel King),YouTube,youtube.com/@PowerPlayChess,130K+ YouTube subs,YouTube DM @PowerPlayChess,Social DM,NOT CONFIRMED,Intermediate-Advanced,Creator Partnership,LOW,FireChess - quick pitch,"Hey Daniel,

Big fan of Power Play Chess. We built FireChess (firechess.com) - it scans a player's Chess.com or Lichess games and finds their opening leaks and patterns. Your audience would get a lot from it.

Would you be interested in a creator partnership? Free Pro access, a promo code, 30% recurring commission.

[Your name]
firechess.com"
WIM YouTuber,Anna Rudolf,YouTube,youtube.com/@AnnaRudolfChess,200K+ YouTube subs,YouTube DM @AnnaRudolfChess,Social DM,NOT CONFIRMED,Beginner-Intermediate,Creator Partnership,LOW,FireChess - collab idea,"Hey Anna,

Love the content. We built FireChess (firechess.com) - it scans a player's Chess.com or Lichess games and finds where they are going wrong. Opening leaks, tactical patterns, endgame issues.

Would you be open to a creator partnership? Free Pro access, a promo code for your audience, 30% recurring commission.

[Your name]
firechess.com"
Chess Coach Platform,iChess.net,Online Courses + Videos,ichess.net,500K+ students,ichess.net/contact,Contact Form,N/A,Intermediate-Advanced,Cross-promo / advertising,MEDIUM,FireChess - partnership or advertising idea,"Hi,

We run FireChess (firechess.com), a free game analysis tool that finds where a player is losing based on their Chess.com or Lichess history. Your audience is exactly who would use it - serious improvers who are already investing in courses.

Would you consider a banner ad or a brief mention in your emails? Happy to discuss.

[Your name]
firechess.com"
Chess Improvement Platform,ChessUniversity,Online Courses,chessuniversity.com,100K+ students,chessuniversity.com/contact,Contact Form,N/A,Intermediate,Cross-promo / partnership,LOW,FireChess - cross-promo idea,"Hi,

We run FireChess (firechess.com), a free game analysis tool that finds opening leaks and tactical patterns from a player's Chess.com or Lichess games. Your audience cares about improvement - this fits right in.

Would love to explore a cross-promo. Happy to discuss.

[Your name]
firechess.com"
Chess Club,Seattle Chess Club,Chess Club,seattlechessclub.org,Major PNW chess hub,seattlechessclub.org/contact (form),Web Form,N/A,All Levels,Club Partnership / Member Benefit,LOW,free analysis tool for Seattle Chess Club members,"Hi,

We built FireChess (firechess.com), a free game analysis tool that finds where a player is losing from their Chess.com or Lichess history. Takes under a minute, works at every level.

Would love to offer it to your members or explore any collaboration.

[Your name]
firechess.com"
Chess Club / School,Mechanics Institute Chess Club (SF),Chess Club,mechanicsinstitute.org/chess,Historic San Francisco chess hub,mechanicsinstitute.org/contact (form),Web Form,N/A,All Levels,Club Partnership / Member Benefit,LOW,free analysis tool for Mechanics Institute chess members,"Hi,

We built FireChess (firechess.com), a free game analysis tool that finds where a player is losing from their Chess.com or Lichess game history. No setup, takes under a minute.

Would love to offer it free to your members or coaches. Happy to chat.

[Your name]
firechess.com"
Chess Club / School,Chess Club and Scholastic Center of Atlanta (CCSCA),Chess Club + Scholastic,ccsca.org,Major SE US chess hub,ccsca.org/contact (form),Web Form,N/A,All Levels,Club + School Partnership,LOW,free analysis tool for CCSCA members and students,"Hi,

We run FireChess (firechess.com), a free game analysis platform that scans a player's Chess.com or Lichess games and builds a personalized study plan in under a minute.

Would love to offer it free to your members and scholastic students. Happy to discuss.

[Your name]
firechess.com"
Chess Events,Tata Steel Chess (Wijk aan Zee),Tournament,tatasteelchess.com,One of the world's premier chess events,tatasteelchess.com/en/contact (form),Web Form,N/A,All Levels (global audience),Sponsorship / Partnership / Press,MEDIUM,FireChess - sponsor / media partnership inquiry,"Hi,

We run FireChess (firechess.com), a free chess analysis tool for active players. With the global audience Tata Steel Chess attracts, we wanted to reach out about any sponsorship, media partnership, or promotional collaboration.

Happy to share more details or discuss what might work.

[Your name]
firechess.com"
Chess Events,Grand Chess Tour,Tournament / Event Series,grandchesstour.org,Global premium chess event series,grandchesstour.org/contact (form),Web Form,N/A,Advanced / Chess Fans,Sponsorship / Partnership,LOW,FireChess - sponsorship / partnership inquiry,"Hi,

We run FireChess (firechess.com), a free chess analysis tool for competitive players. The Grand Chess Tour audience is a perfect fit.

Wanted to reach out about any sponsorship or media partnership opportunities. Happy to discuss.

[Your name]
firechess.com"
Chess Publisher,Everyman Chess,Chess Books,everymanchess.com,Major chess publisher,everymanchess.com/pages/contact (form - SSL issues),Web Form,N/A - SSL cert issues,Intermediate to Advanced,Advertising / editorial mention,LOW,advertising idea - FireChess,"Hi,

I run FireChess (firechess.com), a free game analysis tool that finds a player's opening leaks from their Chess.com or Lichess games. Your readers are exactly who this is built for.

Would you consider a banner ad or a mention in your newsletter?

[Your name]
firechess.com"
Chess Tech,ChessUp (Smart Chess Board),Hardware + App,playknowable.com,10K+ chess board owners,playknowable.com/contact (form),Web Form,N/A,All Levels,Partnership / integration idea,LOW,FireChess + ChessUp - integration idea,"Hi,

We run FireChess (firechess.com), a free game analysis tool that finds where a player keeps going wrong from their Chess.com or Lichess history.

Could be a great complement to ChessUp - players get insights between board sessions. Would love to explore a partnership or cross-promotion.

[Your name]
firechess.com"
Chess Coach / Academy,Chessfox (GM Davorin Kuljasevic),Website + Courses,chessfox.com,50K+ students,chessfox.com/contact,Contact Form,N/A,Intermediate-Advanced,Coach Partnership - opening analysis complements his courses,MEDIUM,tool for your students - FireChess,"Hey Davorin,

Big fan of the Chessfox approach to chess improvement. We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games and finds their opening leaks and blindspots before a lesson.

Would love to offer you free access for your students. 30% recurring commission if you want to share it.

[Your name]
firechess.com"
Chess Coach Platform,Speed Chess Academy (Danya Naroditsky),Online Coaching,speedchessacademy.com,10K+ students,speedchessacademy.com/contact (form),Web Form,N/A,Intermediate-Advanced,Coach Partnership,MEDIUM,tool for your students - FireChess,"Hi,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games before a coaching session and shows exactly where they are losing. Opening leaks, tactical patterns, endgame issues.

Would love to offer it free to your students. Happy to discuss a partnership.

[Your name]
firechess.com"
Chess Media,British Chess Magazine (BCM),Magazine,britishchessmagazine.co.uk,10K+ readers,britishchessmagazine.co.uk/contact (form),Web Form,N/A,Intermediate-Advanced,Advertising / editorial mention,LOW,advertising idea - FireChess,"Hi,

I run FireChess (firechess.com), a free game analysis tool for serious chess players. It finds opening leaks and patterns from Chess.com or Lichess in under a minute.

Would BCM be interested in an ad or a short editorial mention? Your readership is a perfect fit.

[Your name]
firechess.com"
Chess Organization,African Chess Confederation (ACC),Organization,africanchessconfederation.com,Multiple African national federations,africanchessconfederation.com/contact (form),Web Form,N/A,All Levels,Partnership / continental outreach,LOW,free game analysis tool for African chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their improvement areas in under a minute.

We would love to offer this to ACC member federations or explore any partnership to support African chess development.

[Your name]
firechess.com"
Chess Coach / GM,GM Ramesh RB (RSB Chess Academy),Coaching + YouTube,rsbchessacademy.com,30K+ students globally,rsbchessacademy.com/contact (form),Web Form,N/A,Intermediate-Advanced,Coach Partnership,MEDIUM,tool for your students - FireChess,"Dear GM Ramesh,

We built FireChess (firechess.com), a tool that scans a student's Chess.com or Lichess games before a coaching session and shows their exact opening leaks and weaknesses.

Your coaching methodology is about finding and fixing patterns. FireChess automates the diagnostic step. Would love to offer it free to your students.

[Your name]
firechess.com"
Chess Scholastic,Chess4Life,Scholastic Chess Program,chess4life.com,10K+ school students,chess4life.com/contact,Contact Form,N/A,Scholastic (K-12),Educational Partnership / Free Student Access,LOW,free tool for Chess4Life students - FireChess,"Hi,

We run FireChess (firechess.com), a free game analysis platform that shows students where they are going wrong in under a minute. It works with Chess.com and Lichess, no setup needed.

Would love to offer it free to your students and coaches. Happy to connect.

[Your name]
firechess.com"
Chess Scholastic,Chess Wizards,Scholastic Chess Franchise,chesswizards.com,20K+ scholastic students,chesswizards.com/contact,Contact Form,N/A,Scholastic (K-6 focus),Educational Partnership,LOW,free tool for Chess Wizards students - FireChess,"Hi,

We built FireChess (firechess.com), a free game analysis tool that shows students exactly where they are making mistakes. Works with Chess.com and Lichess.

Would love to offer it to your students and coaches as a free resource. Happy to chat.

[Your name]
firechess.com"
Chess Organization,US Chess School,Educational Program,uschessschool.com,Elite scholastic program,uschessschool.com/contact (form),Web Form,N/A,Advanced Scholastic (1800+),Educational Partnership,LOW,free analysis tool for US Chess School students - FireChess,"Hi,

We run FireChess (firechess.com), a free game analysis tool for competitive chess players. It scans Chess.com or Lichess games and finds opening leaks and tactical patterns in under a minute.

Your students are exactly who this is built for. Would love to offer it free to the program.

[Your name]
firechess.com"
Chess Platform,Internet Chess Club (ICC),Online Platform,chessclub.com,300K+ registered users,support.chessclub.com (support portal),Web Form / Support,N/A,Intermediate-Advanced,Co-Marketing / Partnership,MEDIUM,FireChess - co-marketing pitch for ICC users,"Hi,

We run FireChess (firechess.com), a free game analysis tool that finds a player's opening leaks from their Chess.com or Lichess history. ICC users are exactly the type of competitive player we are trying to reach.

Would love to explore a co-marketing angle or a simple mention. Happy to discuss.

[Your name]
firechess.com"
National Federation,Scottish Chess Association,Organization,scottishchess.org,3K+ members,scottishchess.org/contact (form),Web Form,N/A,All Levels,Partnership / member tool,LOW,free game analysis tool for Scottish chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans a player's Chess.com or Lichess games and finds their opening leaks and patterns in under a minute.

We would love to offer this to Scottish Chess Association members or explore a simple partnership.

[Your name]
firechess.com"
National Federation,Welsh Chess Union,Organization,welshchessunion.org,2K+ members,welshchessunion.org/contact (form),Web Form,N/A,All Levels,Partnership / member tool,LOW,free game analysis tool for Welsh chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis tool that finds where a player is losing from their Chess.com or Lichess games. Takes under a minute.

Would love to offer this to Welsh Chess Union members. Happy to discuss.

[Your name]
firechess.com"
National Federation,Croatian Chess Federation (HSSach),Organization,hsas.hr,5K+ members,hsas.hr/kontakt (form - DNS issues),Web Form,N/A - DNS errors on site,All Levels,Partnership / member tool,LOW,free game analysis tool for Croatian chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that finds a player's opening leaks from their Chess.com or Lichess games. Takes under a minute.

We would love to offer this to HSSach members or explore a partnership.

[Your name]
firechess.com"
National Federation,Romanian Chess Federation (FSR),Organization,saah.ro,8K+ members,saah.ro/contact (form),Web Form,N/A,All Levels,Partnership / member tool,LOW,free game analysis tool for Romanian chess players - FireChess,"Hello,

We created FireChess (firechess.com), a free chess analysis tool that scans a player's Chess.com or Lichess games and finds their opening leaks in under a minute.

We would love to offer this to FSR members or explore any collaboration.

[Your name]
firechess.com"
National Federation,Hungarian Chess Federation (MSSSz),Organization,mssz.hu,10K+ members,mssz.hu/kapcsolat (form),Web Form,N/A,All Levels,Partnership / member tool,LOW,free game analysis tool for Hungarian chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis tool that scans a player's Chess.com or Lichess games and finds opening leaks and patterns in under a minute.

We would love to offer this to MSSSz members or explore a partnership.

[Your name]
firechess.com"
National Federation,Israeli Chess Federation,Organization,israelchess.org.il,5K+ members,israelchess.org.il/contact (form),Web Form,N/A,All Levels,Partnership / member tool,LOW,free game analysis tool for Israeli chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis tool that finds a player's opening leaks from their Chess.com or Lichess games in under a minute.

Would love to explore offering this to Israeli Chess Federation members.

[Your name]
firechess.com"
Chess Media,Chess Today (Daily News Sheet),Newsletter,chesstoday.net,5K+ subscribers,chesstoday.net/contact (form),Web Form,N/A,Intermediate-Advanced,Advertising / sponsor mention,LOW,advertising idea - FireChess,"Hi,

I run FireChess (firechess.com), a free game analysis tool for competitive chess players. It finds opening leaks from Chess.com or Lichess games in under a minute.

Chess Today readers are exactly who FireChess is built for. Would you ever consider a sponsor mention in the newsletter?

[Your name]
firechess.com"
Chess Platform,Lichess.org,Open-Source Platform,lichess.org,10M+ registered users,lichess.org/contact,Web Form,YES - form confirmed,All Levels,Partnership / integration / editorial,HIGH,FireChess + Lichess - integration or partnership idea,"Hi,

We run FireChess (firechess.com), a free game analysis platform that uses the Lichess API to pull a player's game history and find their opening leaks and tactical patterns.

We wanted to reach out about any integration opportunities or a mention in Lichess communications. We think the communities overlap strongly.

[Your name]
firechess.com"
Chess Coach,IM Andras Toth,YouTube + Coaching,andrastoth.com,80K+ YouTube subs,andrastoth.com/contact (form),Contact Form,N/A,Beginner-Intermediate,Creator + Coach Partnership,MEDIUM,FireChess - tool for your students,"Hey Andras,

Big fan of your chess improvement content. We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games and finds their opening leaks and patterns before a lesson.

Would love to set you up with free Pro access and a promo code for your students. 30% recurring commission on upgrades through your link.

[Your name]
firechess.com"
Chess Streaming,Chessbrah (Aman Hambleton + Eric Hansen),Twitch + YouTube,chessbrah.com,"400K+ Twitch, 200K+ YouTube",chessbrah.com/contact (form),Contact Form,N/A,Intermediate-Advanced,Creator Partnership,MEDIUM,FireChess - partnership pitch,"Hey,

Love the Chessbrah content. We built FireChess (firechess.com) - it scans a player's Chess.com or Lichess games and finds exactly where they are stuck. Opening leaks, tactical patterns, endgame issues.

Would you be interested in a creator deal? Free Pro access, a promo code for your viewers, 30% recurring commission.

[Your name]
firechess.com"
Chess Events,Norway Chess (Altibox Norway Chess),Tournament,norwaychess.no,Premier elite chess event,norwaychess.no/contact (form),Web Form,N/A,All Levels (elite event fans),Sponsorship / Partnership,LOW,FireChess - sponsorship inquiry,"Hi,

We run FireChess (firechess.com), a free chess analysis tool for competitive players. Norway Chess has one of the strongest and most engaged global chess audiences.

Wanted to reach out about any sponsorship or media partnership opportunities.

[Your name]
firechess.com"
Chess Events,Isle of Man International Chess,Tournament,iomchess.com,Annual open with 200+ players,iomchess.com/contact (form),Web Form,N/A,Competitive (open tournament players),Event Partnership / Sponsorship,LOW,FireChess - event partnership idea,"Hi,

We run FireChess (firechess.com), a free game analysis tool for competitive chess players. The Isle of Man International attracts exactly the kind of players who would love it.

Wanted to ask about any sponsorship or media partnership opportunities.

[Your name]
firechess.com"
Chess Publisher,Russell Enterprises (chess books),Chess Books,chess-publisher.com,Major US chess publisher,chess-publisher.com/contact (form),Web Form,N/A,Intermediate-Advanced,Advertising / editorial mention,LOW,advertising idea - FireChess,"Hi,

I run FireChess (firechess.com), a free game analysis tool that finds opening leaks from Chess.com or Lichess games. Your readers are exactly the audience we are trying to reach.

Would you consider an ad placement or a small mention?

[Your name]
firechess.com"
Chess Organization,Pan-American Chess Federation (FEPAMA),Organization,fepama.org,Multiple national federations in the Americas,fepama.org/contact (form),Web Form,N/A,All Levels,Partnership / continental outreach,LOW,free game analysis tool for American chess players - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans Chess.com or Lichess games and finds a player's opening leaks in under a minute.

We would love to explore offering this to FEPAMA member federations across the Americas. Happy to discuss.

[Your name]
firechess.com"
Chess Platform,Chess24 (Hardcore Chess),Platform + Streaming,chess24.com,500K+ registered users,chess24.com/contact,Web Form,N/A,Intermediate-Advanced,Co-Marketing / Partnership,MEDIUM,FireChess - co-marketing idea,"Hi,

We run FireChess (firechess.com), a free game analysis tool that finds a player's opening leaks from their Chess.com or Lichess games. Your audience is a perfect fit.

Would love to explore a co-marketing angle or a simple mention. Happy to discuss.

[Your name]
firechess.com"
Chess Education,chess-teacher.com,Online Chess Teaching,chess-teacher.com,50K+ students,chess-teacher.com/contact (form),Contact Form,N/A,Beginner-Intermediate,Coaching tool - student prep,LOW,tool for your coaching students - FireChess,"Hi,

We built FireChess (firechess.com), a free game analysis tool that scans a student's Chess.com or Lichess games and finds their opening leaks before a lesson.

Would love to offer it free to your teachers and students. Happy to discuss any collaboration.

[Your name]
firechess.com"
Chess Club,London Chess Classic / 4NCL,Chess Club + Tournament,londonchessclassic.com,Major UK chess events,londonchessclassic.com/contact (form),Web Form,N/A,All Levels (UK competitive players),Event Partnership / Sponsorship,LOW,FireChess - sponsorship / partnership idea,"Hi,

We run FireChess (firechess.com), a free chess analysis tool for competitive players. The London Chess Classic audience is a great fit.

Wanted to reach out about any sponsorship or promotional partnership opportunities.

[Your name]
firechess.com"
Chess Coach,IM Eric Rosen (coaching),YouTube + Coaching,youtube.com/@EricRosen,"600K+ YouTube, coaching clients",Twitter DM @im_rosen,Social DM,NOT CONFIRMED,Intermediate,Creator + Coach Partnership,MEDIUM,FireChess - tool for your coaching students,"Hey Eric,

We built FireChess (firechess.com) - it scans a student's Chess.com or Lichess games before a lesson and finds their specific opening leaks and tactical blindspots. Coaches love it because students show up prepared.

Would love to set you up with free Pro and a code for your students. 30% recurring commission on upgrades.

[Your name]
firechess.com"
Chess Media,ChessInformant (Informator),Publisher + Platform,sahovski.rs,Classic chess publisher and platform,sahovski.rs/contact (form),Web Form,N/A,Advanced,Editorial / Advertising,LOW,advertising idea - FireChess,"Hi,

I run FireChess (firechess.com), a free chess analysis tool for serious players. Informator readers are exactly the audience we are trying to reach.

Would you consider an ad or a short mention?

[Your name]
firechess.com"
Chess Organization,FIDE Online Arena,Platform,online.fide.com,FIDE-rated online play platform,online.fide.com/contact (form),Web Form,N/A,Competitive (FIDE-rated),Partnership / Integration,MEDIUM,FireChess + FIDE Online Arena - partnership idea,"Hi,

We run FireChess (firechess.com), a free game analysis tool for competitive chess players. It pulls game history from Chess.com or Lichess and surfaces opening leaks and tactical patterns.

With FIDE Online Arena serving rated players, there might be a great integration or co-marketing angle. Happy to explore.

[Your name]
firechess.com"
Chess Streaming / Content,Saint Louis Chess Club (YouTube),YouTube Channel,youtube.com/@SaintLouisChessClub,600K+ YouTube subs,info@saintlouischessclub.org,Direct Email,YES - confirmed (same as SLCC),All Levels,Creator / Content Partnership,HIGH,FireChess - partnership pitch for your content channel,"Hi,

The Saint Louis Chess Club YouTube channel is one of the best chess channels on the platform. We built FireChess (firechess.com) - it scans a player's games and shows exactly where they are losing. Great content for live demos.

We would love to partner on a video or just set up free access for your team. 30% commission available too.

[Your name]
firechess.com"
Chess Scholastic,National Scholastic Chess Foundation (NSCF),Scholastic Organization,nscfoundation.org,100K+ scholastic players,nscfoundation.org/contact (form),Web Form,N/A,Scholastic (K-12),Educational Partnership,LOW,free analysis tool for NSCF students - FireChess,"Hi,

We run FireChess (firechess.com), a free game analysis tool that shows students exactly where they are going wrong in under a minute. It works with Chess.com and Lichess.

Would love to offer it to NSCF coaches and students as a free resource. Happy to connect.

[Your name]
firechess.com"
Chess Coach / Platform,Chessy (chess coaching app),App + Coaching,chessy.app,10K+ students,chessy.app/contact (form),Contact Form,N/A,Beginner-Intermediate (youth),Coaching tool partnership,LOW,FireChess + Chessy - partnership idea,"Hi,

We built FireChess (firechess.com), a free game analysis tool that scans a student's Chess.com or Lichess games and finds their improvement areas before a lesson.

Could be a nice complement to Chessy. Would love to explore a partnership or cross-promotion.

[Your name]
firechess.com"
Chess Organization,Asian Chess Federation (ACF),Continental Federation,asiachess.org,30+ member federations,asiachess.org/contact (form),Web Form,N/A,All Levels,Partnership / regional outreach,LOW,free game analysis tool for Asian chess federations - FireChess,"Hello,

We built FireChess (firechess.com), a free chess analysis platform that scans Chess.com or Lichess games and finds a player's opening leaks in under a minute.

We would love to explore offering this to ACF member federations across Asia. Happy to discuss any collaboration.

[Your name]
firechess.com"
